pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	193014	1.278
0.010	0.020	431963	545443	1.263
0.020	0.030	652918	803330	1.230
0.030	0.040	791151	933498	1.180
0.040	0.050	837953	933218	1.114
0.050	0.060	798205	822322	1.030
0.060	0.070	693856	643170	0.927
0.070	0.080	549788	447197	0.813
0.080	0.090	398909	274646	0.688
0.090	0.100	262253	145341	0.554
0.100	0.110	154201	66671	0.432
0.110	0.120	80600	30166	0.374
0.120	0.130	38690	20560	0.531
0.130	0.140	20475	23081	1.127
0.140	0.150	16337	26363	1.614
0.150	0.160	18435	25271	1.371
0.160	0.170	20548	19811	0.964
0.170	0.180	20324	12617	0.621
0.180	0.190	17074	6350	0.372
0.190	0.200	12480	2648	0.212
0.200	0.220	11469	4090	0.357
0.220	0.240	2977	7180	2.412
0.240	0.260	3825	5896	1.541
0.260	0.280	5202	1871	0.360
0.280	0.300	3669	765	0.209
0.300	0.320	1211	1503	1.241
0.320	0.340	447	1455	3.255
0.340	0.360	894	559	0.625
0.360	0.380	1086	189	0.174
0.380	0.400	617	419	0.679
0.400	0.480	815	841	1.032
0.480	0.560	335	319	0.952
0.560	0.640	155	108	0.697
0.640	0.720	68	57	0.838
0.720	0.800	43	18	0.419
0.800	0.880	14	13	0.929
0.880	0.960	8	0	0.000
0.960	1.040	0	0	0.000
1.040	1.120	0	0	0.000
1.120	1.200	0	0	0.000
1.200	1.600	0	0	0.000
1.600	2.000	0	0	0.000
