Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	13.866		0.253
2	0.040	0.080	13.855		0.146
3	0.080	0.120	13.710		0.114
4	0.120	0.160	13.716		0.098
5	0.160	0.200	13.487		0.088
6	0.200	0.240	13.335		0.082
7	0.240	0.280	13.143		0.078
8	0.280	0.320	12.845		0.075
9	0.320	0.360	12.599		0.073
10	0.360	0.400	12.320		0.072
11	0.400	0.440	12.163		0.073
12	0.440	0.480	11.872		0.073
13	0.480	0.520	11.484		0.075
14	0.520	0.560	10.987		0.076
15	0.560	0.600	10.773		0.080
16	0.600	0.680	10.338		0.061
17	0.680	0.760	9.492		0.068
18	0.760	0.840	8.911		0.079
19	0.840	0.920	8.354		0.095
20	0.920	1.000	7.590		0.116
21	1.000	1.150	6.799		0.118
22	1.150	1.300	5.604		0.197
23	1.300	1.450	5.214		0.384
24	1.450	1.600	5.285		0.880
