Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	3.795		0.126
2	0.040	0.080	3.705		0.072
3	0.080	0.120	3.621		0.056
4	0.120	0.160	3.661		0.049
5	0.160	0.200	3.506		0.043
6	0.200	0.240	3.495		0.040
7	0.240	0.280	3.294		0.037
8	0.280	0.320	3.212		0.036
9	0.320	0.360	3.005		0.034
10	0.360	0.400	2.806		0.033
11	0.400	0.440	2.608		0.032
12	0.440	0.480	2.469		0.032
13	0.480	0.520	2.288		0.032
14	0.520	0.560	2.141		0.032
15	0.560	0.600	2.071		0.034
16	0.600	0.680	1.949		0.025
17	0.680	0.760	1.744		0.028
18	0.760	0.840	1.602		0.032
19	0.840	0.920	1.551		0.040
20	0.920	1.000	1.412		0.049
21	1.000	1.150	1.165		0.048
22	1.150	1.300	0.968		0.080
23	1.300	1.450	0.994		0.164
24	1.450	1.600	1.113		0.396
