bin index 0 corresponds to the 'allbins' range

original signal 
bin 	2.2GeV
0	511.84
1	127.76
2	127.35
3	84.98
4	85.73
5	86.47

new signal val 
bin 	2.0GeV	2.1GeV	2.2GeV	2.3GeV	2.4GeV	2.5GeV	
0	512.80	511.98	511.84	511.98	512.45	513.00	
1	128.15	127.71	127.74	127.71	127.43	127.70	
2	127.58	127.31	127.35	127.43	127.59	127.21	
3	84.91	84.85	84.98	85.08	85.15	85.92	
4	85.77	85.76	85.73	85.72	86.20	85.92	
5	86.66	86.50	86.47	86.46	86.60	86.55	

new signal err 
bin 	2.0GeV	2.1GeV	2.2GeV	2.3GeV	2.4GeV	2.5GeV	
0	25.74	25.73	25.73	25.74	25.74	25.76	
1	12.44	12.43	12.43	12.43	12.43	12.43	
2	12.45	12.45	12.45	12.45	12.45	12.45	
3	10.44	10.44	10.45	10.45	10.45	10.49	
4	11.18	11.18	11.18	11.18	11.20	11.20	
5	10.85	10.85	10.84	10.84	10.85	10.85	

deviation absolute
bin 	2.0GeV	2.1GeV	2.2GeV	2.3GeV	2.4GeV	2.5GeV	
0	0.96	0.13	0.00	0.13	0.61	1.16	
1	0.39	0.05	0.02	0.05	0.33	0.06	
2	0.23	0.04	0.00	0.08	0.24	0.14	
3	0.07	0.12	0.00	0.10	0.17	0.94	
4	0.05	0.03	0.00	0.01	0.47	0.19	
5	0.20	0.03	0.00	0.01	0.13	0.09	

deviation relative [%]
bin 	2.0GeV	2.1GeV	2.2GeV	2.3GeV	2.4GeV	2.5GeV	
0	0.19	0.03	0.00	0.03	0.12	0.23	
1	0.31	0.04	0.02	0.04	0.26	0.05	
2	0.18	0.03	0.00	0.06	0.19	0.11	
3	0.08	0.15	0.00	0.12	0.20	1.11	
4	0.05	0.04	0.00	0.01	0.55	0.22	
5	0.23	0.03	0.00	0.01	0.15	0.10	
