bin index 0 corresponds to the 'allbins' range

original signal 
bin 	4.5GeV
0	511.84
1	127.76
2	127.35
3	84.98
4	85.73
5	86.47

new signal val 
bin 	4.0GeV	4.2GeV	4.4GeV	4.6GeV	4.8GeV	5.0GeV	
0	515.73	515.77	512.78	510.66	509.44	508.84	
1	127.09	127.63	127.78	127.10	126.63	126.33	
2	129.33	128.98	127.84	127.57	127.39	127.36	
3	87.26	85.92	85.00	84.67	84.67	84.61	
4	86.43	86.16	85.59	84.88	85.46	85.53	
5	86.05	87.24	86.84	86.61	85.81	85.60	

new signal err 
bin 	4.0GeV	4.2GeV	4.4GeV	4.6GeV	4.8GeV	5.0GeV	
0	25.84	25.81	25.75	25.71	25.69	25.67	
1	12.44	12.44	12.44	12.41	12.40	12.39	
2	12.50	12.48	12.46	12.45	12.44	12.44	
3	10.57	10.50	10.45	10.43	10.43	10.43	
4	11.26	11.22	11.18	11.14	11.16	11.16	
5	10.86	10.87	10.85	10.84	10.82	10.81	

deviation absolute
bin 	4.0GeV	4.2GeV	4.4GeV	4.6GeV	4.8GeV	5.0GeV	
0	3.89	3.92	0.93	1.18	2.40	3.00	
1	0.67	0.12	0.02	0.66	1.12	1.43	
2	1.98	1.62	0.49	0.22	0.04	0.01	
3	2.28	0.94	0.02	0.31	0.30	0.37	
4	0.70	0.43	0.13	0.85	0.27	0.20	
5	0.41	0.77	0.37	0.14	0.65	0.86	

deviation relative [%]
bin 	4.0GeV	4.2GeV	4.4GeV	4.6GeV	4.8GeV	5.0GeV	
0	0.76	0.77	0.18	0.23	0.47	0.59	
1	0.53	0.10	0.02	0.52	0.88	1.12	
2	1.55	1.28	0.38	0.17	0.03	0.01	
3	2.68	1.10	0.03	0.36	0.36	0.44	
4	0.82	0.50	0.16	0.99	0.31	0.24	
5	0.48	0.89	0.43	0.16	0.75	1.00	
