pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	162680	1.077
0.010	0.020	431963	463330	1.073
0.020	0.030	652918	694602	1.064
0.030	0.040	791151	833708	1.054
0.040	0.050	837953	867164	1.035
0.050	0.060	798205	810432	1.015
0.060	0.070	693856	685764	0.988
0.070	0.080	549788	523887	0.953
0.080	0.090	398909	364692	0.914
0.090	0.100	262253	227360	0.867
0.100	0.110	154201	124835	0.810
0.110	0.120	80600	60764	0.754
0.120	0.130	38690	28600	0.739
0.130	0.140	20475	17966	0.877
0.140	0.150	16337	18599	1.138
0.150	0.160	18435	21657	1.175
0.160	0.170	20548	22252	1.083
0.170	0.180	20324	19671	0.968
0.180	0.190	17074	14813	0.868
0.190	0.200	12480	9238	0.740
0.200	0.220	11469	6778	0.591
0.220	0.240	2977	3079	1.034
0.240	0.260	3825	5417	1.416
0.260	0.280	5202	5151	0.990
0.280	0.300	3669	2338	0.637
0.300	0.320	1211	542	0.448
0.320	0.340	447	851	1.904
0.340	0.360	894	1230	1.376
0.360	0.380	1086	886	0.816
0.380	0.400	617	254	0.412
0.400	0.480	815	913	1.120
0.480	0.560	335	329	0.982
0.560	0.640	155	117	0.755
0.640	0.720	68	50	0.735
0.720	0.800	43	30	0.698
0.800	0.880	14	14	1.000
0.880	0.960	8	7	0.875
0.960	1.040	0	0	0.000
1.040	1.120	0	0	0.000
1.120	1.200	0	0	0.000
1.200	1.600	0	0	0.000
1.600	2.000	0	0	0.000
