Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	4.298		0.135
2	0.040	0.080	4.218		0.077
3	0.080	0.120	4.115		0.060
4	0.120	0.160	4.170		0.052
5	0.160	0.200	3.961		0.046
6	0.200	0.240	3.953		0.043
7	0.240	0.280	3.714		0.039
8	0.280	0.320	3.609		0.038
9	0.320	0.360	3.387		0.036
10	0.360	0.400	3.179		0.035
11	0.400	0.440	2.941		0.034
12	0.440	0.480	2.767		0.034
13	0.480	0.520	2.610		0.034
14	0.520	0.560	2.438		0.034
15	0.560	0.600	2.336		0.036
16	0.600	0.680	2.209		0.027
17	0.680	0.760	1.979		0.030
18	0.760	0.840	1.810		0.034
19	0.840	0.920	1.750		0.042
20	0.920	1.000	1.595		0.052
21	1.000	1.150	1.301		0.050
22	1.150	1.300	1.151		0.087
23	1.300	1.450	1.048		0.169
24	1.450	1.600	1.113		0.396
