		pure exponential 		exp with a quadratic term
model 		A 	err 	b 	err 	A 	err 	b 	err 	c 	err 
data		24.50	2.63	2.79	0.34	29.18	4.89	4.42	1.34	2.31	1.84
STARlight	63.64	1.10	4.32	0.13	58.66	2.48	3.21	0.56	-2.16	1.43
CCK_GG_hs	25.34	1.15	5.02	0.33	28.59	0.76	6.62	0.33	3.45	0.43
CCK_GG_n	32.53	0.84	10.53	0.32	28.72	1.39	10.49	0.94	3.07	1.35
MS_fl		29.27	1.23	1.96	0.18	32.03	1.42	2.93	0.46	1.55	0.56
MS_nf		37.39	0.82	4.19	0.16	40.75	2.81	5.31	0.76	2.65	0.92
GSZ_tot_max	23.22	0.79	3.38	0.20	26.24	0.53	4.88	0.26	2.60	0.31
GSZ_tot_min	9.31	0.71	3.01	0.39	8.88	0.74	3.89	1.09	1.29	2.11
GSZ_el_max	19.56	0.31	4.78	0.12	21.29	0.55	5.82	0.36	2.28	0.46
GSZ_el_min	7.85	0.51	4.33	0.42	6.36	1.01	4.28	2.19	0.94	4.91
