		pure exponential 		exp with a quadratic term
model 		A 	err 	b 	err 	A 	err 	b 	err 	c 	err 
data		24.50	2.63	2.79	0.34	29.18	4.89	4.42	1.34	2.31	1.84
STARlight	62.63	0.13	4.03	0.01	61.86	0.14	3.98	0.02	-0.04	0.04
CCK_GG_hs	27.95	0.35	5.83	0.12	29.36	0.35	6.77	0.16	3.44	0.37
CCK_GG_n	33.01	0.44	11.07	0.17	29.47	0.66	9.18	0.48	-6.19	2.33
MS_fl		30.64	0.15	2.05	0.04	31.67	0.21	2.51	0.08	0.72	0.11
MS_nf		36.33	0.22	3.80	0.06	34.60	0.28	2.99	0.12	-2.40	0.36
GSZ_tot_max	24.08	0.27	3.53	0.06	25.49	0.06	4.32	0.02	1.38	0.03
GSZ_tot_min	9.72	0.12	3.51	0.06	9.24	0.06	3.69	0.06	0.58	0.06
GSZ_el_max	19.99	0.17	4.61	0.05	20.57	0.19	5.21	0.10	1.05	0.19
GSZ_el_min	8.06	0.07	4.77	0.05	9.15	0.13	6.08	0.16	0.37	0.15
