This histogram has 61 bins.
bin	t_low	t_upp	sigma
1	0.0400	0.0437	0.0212
2	0.0437	0.0462	0.0214
3	0.0462	0.0488	0.0215
4	0.0488	0.0513	0.0215
5	0.0513	0.0537	0.0214
6	0.0537	0.0563	0.0213
7	0.0563	0.0587	0.0210
8	0.0587	0.0612	0.0207
9	0.0612	0.0638	0.0203
10	0.0638	0.0663	0.0199
11	0.0663	0.0688	0.0194
12	0.0688	0.0713	0.0190
13	0.0713	0.0737	0.0186
14	0.0737	0.0762	0.0182
15	0.0762	0.0788	0.0178
16	0.0788	0.0801	0.0174
17	0.0801	0.0813	0.0174
18	0.0813	0.0838	0.0170
19	0.0838	0.0862	0.0167
20	0.0862	0.0887	0.0164
21	0.0887	0.0912	0.0160
22	0.0912	0.0938	0.0158
23	0.0938	0.0963	0.0155
24	0.0963	0.0988	0.0152
25	0.0988	0.1025	0.0150
26	0.1025	0.1075	0.0145
27	0.1075	0.1125	0.0141
28	0.1125	0.1175	0.0137
29	0.1175	0.1225	0.0133
30	0.1225	0.1275	0.0129
31	0.1275	0.1325	0.0126
32	0.1325	0.1375	0.0122
33	0.1375	0.1425	0.0119
34	0.1425	0.1475	0.0115
35	0.1475	0.1521	0.0112
36	0.1521	0.1525	0.0112
37	0.1525	0.1575	0.0109
38	0.1575	0.1650	0.0106
39	0.1650	0.1750	0.0101
40	0.1750	0.1850	0.0096
41	0.1850	0.1950	0.0092
42	0.1950	0.2050	0.0087
43	0.2050	0.2150	0.0083
44	0.2150	0.2250	0.0079
45	0.2250	0.2350	0.0076
46	0.2350	0.2450	0.0072
47	0.2450	0.2550	0.0069
48	0.2550	0.2581	0.0067
49	0.2581	0.2650	0.0067
50	0.2650	0.2750	0.0064
51	0.2750	0.2850	0.0062
52	0.2850	0.2950	0.0060
53	0.2950	0.3500	0.0057
54	0.3500	0.4500	0.0033
55	0.4500	0.4775	0.0025
56	0.4775	0.5500	0.0025
57	0.5500	0.6500	0.0017
58	0.6500	0.7500	0.0013
59	0.7500	0.8500	0.0011
60	0.8500	0.9500	0.0008
61	0.9500	1.0000	0.0006
