This histogram has 45 bins.
bin	t_low	t_upp	sigma
1	0.0400	0.0510	0.0161
2	0.0510	0.0613	0.0154
3	0.0613	0.0726	0.0146
4	0.0726	0.0801	0.0138
5	0.0801	0.0847	0.0138
6	0.0847	0.0977	0.0129
7	0.0977	0.1116	0.0121
8	0.1116	0.1264	0.0113
9	0.1264	0.1420	0.0105
10	0.1420	0.1521	0.0097
11	0.1521	0.1585	0.0097
12	0.1585	0.1758	0.0089
13	0.1758	0.1939	0.0082
14	0.1939	0.2127	0.0075
15	0.2127	0.2324	0.0068
16	0.2324	0.2528	0.0062
17	0.2528	0.2581	0.0056
18	0.2581	0.2739	0.0056
19	0.2739	0.2958	0.0050
20	0.2958	0.3183	0.0045
21	0.3183	0.3415	0.0040
22	0.3415	0.3653	0.0036
23	0.3653	0.3898	0.0032
24	0.3898	0.4148	0.0028
25	0.4148	0.4405	0.0025
26	0.4405	0.4666	0.0022
27	0.4666	0.4775	0.0019
28	0.4775	0.4933	0.0019
29	0.4933	0.5205	0.0017
30	0.5205	0.5482	0.0015
31	0.5482	0.5763	0.0013
32	0.5763	0.6048	0.0011
33	0.6048	0.6337	0.0010
34	0.6337	0.6629	0.0009
35	0.6629	0.6925	0.0007
36	0.6925	0.7224	0.0006
37	0.7224	0.7526	0.0006
38	0.7526	0.7830	0.0005
39	0.7830	0.8136	0.0004
40	0.8136	0.8444	0.0004
41	0.8444	0.8753	0.0003
42	0.8753	0.9064	0.0003
43	0.9064	0.9375	0.0002
44	0.9375	0.9688	0.0002
45	0.9688	1.0000	0.0002
