This histogram has 41 bins.
bin	t_low	t_upp	sigma
1	0.0400	0.0510	0.0062
2	0.0510	0.0613	0.0059
3	0.0613	0.0726	0.0056
4	0.0726	0.0847	0.0053
5	0.0847	0.0977	0.0050
6	0.0977	0.1116	0.0047
7	0.1116	0.1264	0.0043
8	0.1264	0.1420	0.0040
9	0.1420	0.1585	0.0037
10	0.1585	0.1758	0.0034
11	0.1758	0.1939	0.0032
12	0.1939	0.2127	0.0029
13	0.2127	0.2324	0.0026
14	0.2324	0.2528	0.0024
15	0.2528	0.2739	0.0021
16	0.2739	0.2958	0.0019
17	0.2958	0.3183	0.0017
18	0.3183	0.3415	0.0016
19	0.3415	0.3653	0.0014
20	0.3653	0.3898	0.0012
21	0.3898	0.4148	0.0011
22	0.4148	0.4405	0.0010
23	0.4405	0.4666	0.0008
24	0.4666	0.4933	0.0007
25	0.4933	0.5205	0.0007
26	0.5205	0.5482	0.0006
27	0.5482	0.5763	0.0005
28	0.5763	0.6048	0.0004
29	0.6048	0.6337	0.0004
30	0.6337	0.6629	0.0003
31	0.6629	0.6925	0.0003
32	0.6925	0.7224	0.0002
33	0.7224	0.7526	0.0002
34	0.7526	0.7830	0.0002
35	0.7830	0.8136	0.0002
36	0.8136	0.8444	0.0001
37	0.8444	0.8753	0.0001
38	0.8753	0.9064	0.0001
39	0.9064	0.9375	0.0001
40	0.9375	0.9688	0.0001
41	0.9688	1.0000	0.0001
