This histogram has 45 bins.
bin	t_low	t_upp	sigma
1	0.0400	0.0510	0.0210
2	0.0510	0.0613	0.0202
3	0.0613	0.0726	0.0193
4	0.0726	0.0801	0.0184
5	0.0801	0.0847	0.0184
6	0.0847	0.0977	0.0175
7	0.0977	0.1116	0.0166
8	0.1116	0.1264	0.0157
9	0.1264	0.1420	0.0147
10	0.1420	0.1521	0.0138
11	0.1521	0.1585	0.0138
12	0.1585	0.1758	0.0130
13	0.1758	0.1939	0.0121
14	0.1939	0.2127	0.0113
15	0.2127	0.2324	0.0105
16	0.2324	0.2528	0.0097
17	0.2528	0.2581	0.0090
18	0.2581	0.2739	0.0090
19	0.2739	0.2958	0.0084
20	0.2958	0.3183	0.0077
21	0.3183	0.3415	0.0071
22	0.3415	0.3653	0.0066
23	0.3653	0.3898	0.0061
24	0.3898	0.4148	0.0056
25	0.4148	0.4405	0.0052
26	0.4405	0.4666	0.0048
27	0.4666	0.4775	0.0044
28	0.4775	0.4933	0.0044
29	0.4933	0.5205	0.0041
30	0.5205	0.5482	0.0038
31	0.5482	0.5763	0.0035
32	0.5763	0.6048	0.0033
33	0.6048	0.6337	0.0030
34	0.6337	0.6629	0.0028
35	0.6629	0.6925	0.0026
36	0.6925	0.7224	0.0024
37	0.7224	0.7526	0.0023
38	0.7526	0.7830	0.0021
39	0.7830	0.8136	0.0020
40	0.8136	0.8444	0.0019
41	0.8444	0.8753	0.0018
42	0.8753	0.9064	0.0017
43	0.9064	0.9375	0.0016
44	0.9375	0.9688	0.0015
45	0.9688	1.0000	0.0014
