This histogram has 130 bins.
bin	t_low	t_upp	sigma
1	0.0400	0.0415	0.0289
2	0.0415	0.0425	0.0289
3	0.0425	0.0435	0.0289
4	0.0435	0.0445	0.0288
5	0.0445	0.0455	0.0290
6	0.0455	0.0465	0.0287
7	0.0465	0.0475	0.0288
8	0.0475	0.0485	0.0289
9	0.0485	0.0495	0.0287
10	0.0495	0.0505	0.0289
11	0.0505	0.0515	0.0289
12	0.0515	0.0525	0.0288
13	0.0525	0.0535	0.0289
14	0.0535	0.0545	0.0288
15	0.0545	0.0555	0.0287
16	0.0555	0.0565	0.0291
17	0.0565	0.0575	0.0290
18	0.0575	0.0585	0.0293
19	0.0585	0.0595	0.0292
20	0.0595	0.0605	0.0288
21	0.0605	0.0615	0.0289
22	0.0615	0.0625	0.0288
23	0.0625	0.0635	0.0288
24	0.0635	0.0645	0.0288
25	0.0645	0.0655	0.0288
26	0.0655	0.0665	0.0287
27	0.0665	0.0675	0.0286
28	0.0675	0.0685	0.0283
29	0.0685	0.0695	0.0285
30	0.0695	0.0705	0.0286
31	0.0705	0.0715	0.0283
32	0.0715	0.0725	0.0283
33	0.0725	0.0735	0.0282
34	0.0735	0.0745	0.0279
35	0.0745	0.0755	0.0278
36	0.0755	0.0765	0.0277
37	0.0765	0.0775	0.0276
38	0.0775	0.0785	0.0278
39	0.0785	0.0795	0.0274
40	0.0795	0.0805	0.0273
41	0.0805	0.0815	0.0272
42	0.0815	0.0825	0.0270
43	0.0825	0.0835	0.0272
44	0.0835	0.0845	0.0270
45	0.0845	0.0855	0.0270
46	0.0855	0.0865	0.0268
47	0.0865	0.0875	0.0267
48	0.0875	0.0885	0.0265
49	0.0885	0.0895	0.0266
50	0.0895	0.0905	0.0263
51	0.0905	0.0915	0.0260
52	0.0915	0.0925	0.0258
53	0.0925	0.0935	0.0261
54	0.0935	0.0945	0.0255
55	0.0945	0.0955	0.0257
56	0.0955	0.0965	0.0255
57	0.0965	0.0975	0.0255
58	0.0975	0.0985	0.0253
59	0.0985	0.0995	0.0253
60	0.0995	0.1005	0.0250
61	0.1005	0.1015	0.0252
62	0.1015	0.1025	0.0251
63	0.1025	0.1035	0.0249
64	0.1035	0.1045	0.0249
65	0.1045	0.1055	0.0246
66	0.1055	0.1065	0.0248
67	0.1065	0.1075	0.0246
68	0.1075	0.1085	0.0243
69	0.1085	0.1095	0.0247
70	0.1095	0.1105	0.0246
71	0.1105	0.1115	0.0240
72	0.1115	0.1125	0.0242
73	0.1125	0.1135	0.0239
74	0.1135	0.1145	0.0239
75	0.1145	0.1155	0.0239
76	0.1155	0.1165	0.0238
77	0.1165	0.1175	0.0238
78	0.1175	0.1185	0.0236
79	0.1185	0.1195	0.0237
80	0.1195	0.1205	0.0234
81	0.1205	0.1215	0.0235
82	0.1215	0.1225	0.0232
83	0.1225	0.1235	0.0233
84	0.1235	0.1245	0.0231
85	0.1245	0.1255	0.0229
86	0.1255	0.1265	0.0229
87	0.1265	0.1275	0.0228
88	0.1275	0.1285	0.0226
89	0.1285	0.1295	0.0223
90	0.1295	0.1305	0.0224
91	0.1305	0.1315	0.0223
92	0.1315	0.1325	0.0222
93	0.1325	0.1335	0.0221
94	0.1335	0.1345	0.0220
95	0.1345	0.1355	0.0216
96	0.1355	0.1365	0.0218
97	0.1365	0.1375	0.0217
98	0.1375	0.1385	0.0215
99	0.1385	0.1395	0.0215
100	0.1395	0.1405	0.0211
101	0.1405	0.1415	0.0213
102	0.1415	0.1425	0.0210
103	0.1425	0.1435	0.0209
104	0.1435	0.1445	0.0207
105	0.1445	0.1455	0.0205
106	0.1455	0.1465	0.0204
107	0.1465	0.1475	0.0204
108	0.1475	0.1485	0.0204
109	0.1485	0.1695	0.0203
110	0.1695	0.2100	0.0179
111	0.2100	0.2500	0.0162
112	0.2500	0.2900	0.0118
113	0.2900	0.3300	0.0085
114	0.3300	0.3700	0.0079
115	0.3700	0.4100	0.0073
116	0.4100	0.4500	0.0061
117	0.4500	0.4900	0.0051
118	0.4900	0.5300	0.0043
119	0.5300	0.5700	0.0037
120	0.5700	0.6100	0.0030
121	0.6100	0.6500	0.0024
122	0.6500	0.6900	0.0021
123	0.6900	0.7300	0.0019
124	0.7300	0.7700	0.0016
125	0.7700	0.8100	0.0014
126	0.8100	0.8500	0.0012
127	0.8500	0.8900	0.0010
128	0.8900	0.9300	0.0008
129	0.9300	0.9700	0.0007
130	0.9700	1.0000	0.0006
