This histogram has 48 bins.
bin	t_low	t_upp	sigma
1	0.0400	0.0600	0.0506
2	0.0600	0.0800	0.0473
3	0.0800	0.1000	0.0430
4	0.1000	0.1200	0.0402
5	0.1200	0.1400	0.0368
6	0.1400	0.1600	0.0342
7	0.1600	0.1800	0.0313
8	0.1800	0.2000	0.0290
9	0.2000	0.2200	0.0268
10	0.2200	0.2400	0.0247
11	0.2400	0.2600	0.0230
12	0.2600	0.2800	0.0211
13	0.2800	0.3000	0.0193
14	0.3000	0.3200	0.0179
15	0.3200	0.3400	0.0167
16	0.3400	0.3600	0.0154
17	0.3600	0.3800	0.0140
18	0.3800	0.4000	0.0131
19	0.4000	0.4200	0.0120
20	0.4200	0.4400	0.0111
21	0.4400	0.4600	0.0102
22	0.4600	0.4800	0.0094
23	0.4800	0.5000	0.0087
24	0.5000	0.5200	0.0079
25	0.5200	0.5400	0.0076
26	0.5400	0.5600	0.0069
27	0.5600	0.5800	0.0064
28	0.5800	0.6000	0.0058
29	0.6000	0.6200	0.0054
30	0.6200	0.6400	0.0050
31	0.6400	0.6600	0.0047
32	0.6600	0.6800	0.0042
33	0.6800	0.7000	0.0038
34	0.7000	0.7200	0.0036
35	0.7200	0.7400	0.0034
36	0.7400	0.7600	0.0030
37	0.7600	0.7800	0.0028
38	0.7800	0.8000	0.0026
39	0.8000	0.8200	0.0024
40	0.8200	0.8400	0.0022
41	0.8400	0.8600	0.0021
42	0.8600	0.8800	0.0019
43	0.8800	0.9000	0.0018
44	0.9000	0.9200	0.0016
45	0.9200	0.9400	0.0015
46	0.9400	0.9600	0.0013
47	0.9600	0.9800	0.0013
48	0.9800	1.0000	0.0012
