This histogram has 52 bins.
bin	t_low	t_upp	sigma
1	0.0400	0.0600	0.0506
2	0.0600	0.0800	0.0473
3	0.0800	0.0801	0.0430
4	0.0801	0.1000	0.0430
5	0.1000	0.1200	0.0402
6	0.1200	0.1400	0.0368
7	0.1400	0.1521	0.0342
8	0.1521	0.1600	0.0342
9	0.1600	0.1800	0.0313
10	0.1800	0.2000	0.0290
11	0.2000	0.2200	0.0268
12	0.2200	0.2400	0.0247
13	0.2400	0.2581	0.0230
14	0.2581	0.2600	0.0230
15	0.2600	0.2800	0.0211
16	0.2800	0.3000	0.0193
17	0.3000	0.3200	0.0179
18	0.3200	0.3400	0.0167
19	0.3400	0.3600	0.0154
20	0.3600	0.3800	0.0140
21	0.3800	0.4000	0.0131
22	0.4000	0.4200	0.0120
23	0.4200	0.4400	0.0111
24	0.4400	0.4600	0.0102
25	0.4600	0.4775	0.0094
26	0.4775	0.4800	0.0094
27	0.4800	0.5000	0.0087
28	0.5000	0.5200	0.0079
29	0.5200	0.5400	0.0076
30	0.5400	0.5600	0.0069
31	0.5600	0.5800	0.0064
32	0.5800	0.6000	0.0058
33	0.6000	0.6200	0.0054
34	0.6200	0.6400	0.0050
35	0.6400	0.6600	0.0047
36	0.6600	0.6800	0.0042
37	0.6800	0.7000	0.0038
38	0.7000	0.7200	0.0036
39	0.7200	0.7400	0.0034
40	0.7400	0.7600	0.0030
41	0.7600	0.7800	0.0028
42	0.7800	0.8000	0.0026
43	0.8000	0.8200	0.0024
44	0.8200	0.8400	0.0022
45	0.8400	0.8600	0.0021
46	0.8600	0.8800	0.0019
47	0.8800	0.9000	0.0018
48	0.9000	0.9200	0.0016
49	0.9200	0.9400	0.0015
50	0.9400	0.9600	0.0013
51	0.9600	0.9800	0.0013
52	0.9800	1.0000	0.0012
