pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	170955	1.132
0.010	0.020	431963	486366	1.126
0.020	0.030	652918	725352	1.111
0.030	0.040	791151	862544	1.090
0.040	0.050	837953	888856	1.061
0.050	0.060	798205	816987	1.024
0.060	0.070	693856	675573	0.974
0.070	0.080	549788	503727	0.916
0.080	0.090	398909	339414	0.851
0.090	0.100	262253	202508	0.772
0.100	0.120	234801	154179	0.657
0.120	0.140	59165	42603	0.720
0.140	0.160	34772	44394	1.277
0.160	0.180	40872	40944	1.002
0.180	0.200	29554	19404	1.000
0.200	0.250	16040	11798	1.000
0.250	0.300	11102	9097	1.000
0.300	0.350	2056	2479	1.000
0.350	0.400	2199	1292	1.000
0.400	0.500	963	1030	1.000
0.500	0.600	308	342	1.000
0.600	0.800	145	144	1.000
0.800	1.000	22	12	1.000
1.000	1.500	0	0	1.000
1.500	2.000	0	0	1.000
