pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	197578	1.308
0.010	0.020	431963	557772	1.291
0.020	0.030	652918	819178	1.255
0.030	0.040	791151	947016	1.197
0.040	0.050	837953	940523	1.122
0.050	0.060	798205	821741	1.029
0.060	0.070	693856	634447	0.914
0.070	0.080	549788	435828	0.793
0.080	0.090	398909	261900	0.657
0.090	0.100	262253	135083	0.515
0.100	0.120	234801	88504	0.377
0.120	0.140	59165	45371	0.767
0.140	0.160	34772	52131	1.499
0.160	0.180	40872	29947	0.733
0.180	0.200	29554	7617	0.258
0.200	0.250	16040	15475	0.965
0.250	0.300	11102	4515	0.407
0.300	0.350	2056	3261	1.586
0.350	0.400	2199	838	0.381
0.400	0.500	963	961	0.998
0.500	0.600	308	198	0.643
0.600	0.800	145	104	0.717
0.800	1.000	22	12	0.545
1.000	1.500	0	0	0.000
1.500	2.000	0	0	0.000
