pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	180977	1.198
0.010	0.020	431963	513337	1.188
0.020	0.030	652918	760787	1.165
0.030	0.040	791151	895855	1.132
0.040	0.050	837953	910170	1.086
0.050	0.060	798205	820603	1.028
0.060	0.070	693856	663128	0.956
0.070	0.080	549788	479410	0.872
0.080	0.090	398909	309307	0.775
0.090	0.100	262253	174977	0.667
0.100	0.120	234801	124533	0.530
0.120	0.140	59165	41191	0.696
0.140	0.160	34772	48428	1.393
0.160	0.180	40872	37897	0.927
0.180	0.200	29554	14121	0.478
0.200	0.250	16040	12651	0.789
0.250	0.300	11102	7139	0.643
0.300	0.350	2056	3078	1.497
0.350	0.400	2199	884	0.402
0.400	0.500	963	1073	1.114
0.500	0.600	308	316	1.026
0.600	0.800	145	124	0.855
0.800	1.000	22	14	0.636
1.000	1.500	0	0	0.000
1.500	2.000	0	0	0.000
