pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	180977	1.198
0.010	0.020	431963	513337	1.188
0.020	0.030	652918	760787	1.165
0.030	0.040	791151	895855	1.132
0.040	0.050	837953	910170	1.086
0.050	0.060	798205	820603	1.028
0.060	0.070	693856	663128	0.956
0.070	0.080	549788	479410	0.872
0.080	0.090	398909	309307	0.775
0.090	0.100	262253	174977	0.667
0.100	0.110	154201	85705	0.556
0.110	0.120	80600	38828	0.482
0.120	0.130	38690	20956	0.542
0.130	0.140	20475	20235	0.988
0.140	0.150	16337	23599	1.445
0.150	0.160	18435	24829	1.347
0.160	0.170	20548	21973	1.069
0.170	0.180	20324	15924	1.000
0.180	0.190	17074	9575	1.000
0.190	0.200	12480	4546	1.000
0.200	0.220	11469	3567	1.000
0.220	0.240	2977	5624	1.000
0.240	0.260	3825	6560	1.000
0.260	0.280	5202	3270	1.000
0.280	0.300	3669	769	1.000
0.300	0.320	1211	995	1.000
0.320	0.340	447	1468	1.000
0.340	0.360	894	1015	1.000
0.360	0.380	1086	275	1.000
0.380	0.400	617	209	1.000
0.400	0.480	815	949	1.000
0.480	0.560	335	361	1.000
0.560	0.640	155	119	1.000
0.640	0.720	68	64	1.000
0.720	0.800	43	20	1.000
0.800	0.880	14	12	1.000
0.880	0.960	8	2	1.000
0.960	1.040	0	0	1.000
1.040	1.120	0	0	1.000
1.120	1.200	0	0	1.000
1.200	1.600	0	0	1.000
1.600	2.000	0	0	1.000
