pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	150465	179934	1.196
0.010	0.020	430052	511681	1.190
0.020	0.030	650561	757250	1.164
0.030	0.040	788322	892645	1.132
0.040	0.050	835584	908344	1.087
0.050	0.060	796993	819899	1.029
0.060	0.070	693577	663766	0.957
0.070	0.080	550359	480573	0.873
0.080	0.090	401072	311661	0.777
0.090	0.100	263895	177483	0.673
0.100	0.110	156263	87871	0.562
0.110	0.120	82575	40372	0.489
0.120	0.130	40261	22036	0.547
0.130	0.140	21368	20663	0.967
0.140	0.150	16863	23694	1.405
0.150	0.160	18524	24775	1.337
0.160	0.170	20482	21821	1.065
0.170	0.180	20298	15980	0.787
0.180	0.190	16948	9566	0.564
0.190	0.200	12502	4577	0.366
0.200	0.220	11548	3733	0.323
0.220	0.240	3092	5622	1.818
0.240	0.260	3868	6450	1.668
0.260	0.280	5164	3309	0.641
0.280	0.300	3636	794	0.218
0.300	0.320	1226	1010	0.824
0.320	0.340	467	1479	3.167
0.340	0.360	895	977	1.092
0.360	0.380	1083	291	0.269
0.380	0.400	606	210	0.347
0.400	0.480	830	961	1.158
0.480	0.560	338	355	1.050
0.560	0.640	156	121	0.776
0.640	0.720	65	63	0.969
0.720	0.800	42	20	0.476
0.800	0.880	13	12	0.923
0.880	0.960	7	2	0.286
0.960	1.040	0	0	0.000
1.040	1.120	0	0	0.000
1.120	1.200	0	0	0.000
1.200	1.600	0	0	0.000
1.600	2.000	0	0	0.000
