pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	2334	2337	1.001
0.010	0.020	7087	7142	1.008
0.020	0.030	11996	11870	0.989
0.030	0.040	16583	16685	1.006
0.040	0.050	21431	21279	0.993
0.050	0.060	25937	25975	1.001
0.060	0.070	30747	30555	0.994
0.070	0.080	35441	35233	0.994
0.080	0.090	39777	39849	1.002
0.090	0.100	44029	44136	1.002
0.100	0.120	100222	100463	1.002
0.120	0.140	116395	116494	1.001
0.140	0.160	131211	131443	1.002
0.160	0.180	144171	144360	1.001
0.180	0.200	158225	158659	1.003
0.200	0.250	438353	438176	1.000
0.250	0.300	486223	486405	1.000
0.300	0.350	510281	511140	1.002
0.350	0.400	511222	510704	0.999
0.400	0.500	953919	954035	1.000
0.500	0.600	787187	787373	1.000
0.600	0.800	960122	959170	0.999
0.800	1.000	355997	355572	0.999
1.000	1.500	110361	110195	0.998
1.500	2.000	749	750	1.001
