pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	2334	2337	1.001
0.010	0.020	7087	7142	1.008
0.020	0.030	11996	11870	0.989
0.030	0.040	16583	16685	1.006
0.040	0.050	21431	21279	0.993
0.050	0.060	25937	25975	1.001
0.060	0.070	30747	30555	0.994
0.070	0.080	35441	35233	0.994
0.080	0.090	39777	39849	1.002
0.090	0.100	44029	44136	1.002
0.100	0.110	48261	48329	1.001
0.110	0.120	51961	52134	1.003
0.120	0.130	56339	56406	1.001
0.130	0.140	60056	60088	1.001
0.140	0.150	63896	64121	1.004
0.150	0.160	67315	67322	1.000
0.160	0.170	70558	70734	1.002
0.170	0.180	73613	73626	1.000
0.180	0.190	77484	77718	1.003
0.190	0.200	80741	80941	1.002
0.200	0.220	168673	168386	0.998
0.220	0.240	177075	177454	1.002
0.240	0.260	187109	186746	0.998
0.260	0.280	193417	193751	1.002
0.280	0.300	198302	198244	1.000
0.300	0.320	201936	202561	1.003
0.320	0.340	205571	205480	1.000
0.340	0.360	205313	206190	1.004
0.360	0.380	205856	205268	0.997
0.380	0.400	202827	202345	0.998
0.400	0.480	775089	775207	1.000
0.480	0.560	675562	675542	1.000
0.560	0.640	546923	547030	1.000
0.640	0.720	411684	411270	0.999
0.720	0.800	291970	291529	0.998
0.800	0.880	193685	193698	1.000
0.880	0.960	121440	121188	0.998
0.960	1.040	71879	71654	0.997
1.040	1.120	39961	39873	0.998
1.120	1.200	20899	20867	0.998
1.200	1.600	19039	19026	1.000
1.600	2.000	204	211	1.000
