pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	2537	2588	1.020
0.010	0.020	7610	7618	1.001
0.020	0.030	12826	12823	1.000
0.030	0.040	17939	18032	1.005
0.040	0.050	22803	22733	0.997
0.050	0.060	27956	27754	0.993
0.060	0.070	32828	32988	1.005
0.070	0.080	37777	37820	1.001
0.080	0.090	42879	42858	1.000
0.090	0.100	47087	47048	0.999
0.100	0.110	51732	51812	1.002
0.110	0.120	55747	55788	1.001
0.120	0.130	60424	60305	0.998
0.130	0.140	64156	64323	1.003
0.140	0.150	68347	68357	1.000
0.150	0.160	72014	72070	1.001
0.160	0.170	75104	75437	1.004
0.170	0.180	79200	79124	0.999
0.180	0.190	82946	82690	0.997
0.190	0.200	84826	84955	1.002
0.200	0.220	178857	178671	0.999
0.220	0.240	187895	188205	1.002
0.240	0.260	197229	197274	1.000
0.260	0.280	203361	203789	1.002
0.280	0.300	207915	207820	1.000
0.300	0.320	211918	211528	0.998
0.320	0.340	213374	213003	0.998
0.340	0.360	213424	213740	1.001
0.360	0.380	210797	211050	1.001
0.380	0.400	208716	209535	1.004
0.400	0.480	785474	785300	1.000
0.480	0.560	671536	670872	0.999
0.560	0.640	527468	526783	0.999
0.640	0.720	385553	385808	1.001
0.720	0.800	264195	263874	0.999
0.800	0.880	169129	169329	1.001
0.880	0.960	101293	101412	1.001
0.960	1.040	57160	56946	0.996
1.040	1.120	30264	30216	0.998
1.120	1.200	15274	15255	0.999
1.200	1.600	12317	12353	1.003
1.600	2.000	113	114	1.009
