pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38263	43341	1.133
0.005	0.010	112742	127614	1.132
0.010	0.015	184078	208062	1.130
0.015	0.020	247885	278304	1.123
0.020	0.025	303751	338889	1.116
0.025	0.030	349167	386463	1.107
0.030	0.035	383794	421522	1.098
0.035	0.040	407357	441022	1.083
0.040	0.045	418556	447627	1.069
0.045	0.050	419397	441229	1.052
0.050	0.055	408931	422261	1.033
0.055	0.060	389274	394726	1.014
0.060	0.065	362803	357970	0.987
0.065	0.070	331053	317603	0.959
0.070	0.075	294589	273422	0.928
0.075	0.080	255199	230305	0.902
0.080	0.085	217537	188954	0.869
0.085	0.090	181372	150460	0.830
0.090	0.095	146411	115734	0.790
0.095	0.100	115842	86774	0.749
0.100	0.105	88473	62116	0.702
0.105	0.110	65728	43131	0.656
0.110	0.115	47496	29311	0.617
0.115	0.120	33104	19621	0.593
0.120	0.125	23008	13868	0.603
0.125	0.130	15682	10432	0.665
0.130	0.135	11472	8987	0.783
0.135	0.140	9003	9316	1.035
0.140	0.145	8068	10026	1.243
0.145	0.150	8269	10841	1.311
0.150	0.155	8947	11692	1.307
0.155	0.160	9488	11835	1.247
0.160	0.165	10263	11638	1.134
0.165	0.170	10285	10957	1.065
0.170	0.175	10452	9925	0.950
0.175	0.180	9872	8424	0.853
0.180	0.185	9104	7041	0.773
0.185	0.190	7970	5493	0.689
0.190	0.195	6926	4051	0.585
0.195	0.200	5554	2819	0.508
0.200	0.205	4379	1881	0.430
0.205	0.210	3236	1282	0.396
0.210	0.215	2282	807	0.354
0.215	0.220	1572	693	0.441
0.220	0.225	1077	721	0.669
0.225	0.230	693	905	1.306
0.230	0.235	601	1123	1.869
0.235	0.240	606	1314	2.168
0.240	0.245	710	1509	2.125
0.245	0.250	884	1563	1.768
0.250	0.255	1045	1585	1.517
0.255	0.260	1186	1531	1.291
0.260	0.265	1325	1457	1.100
0.265	0.270	1317	1246	0.946
0.270	0.275	1293	1033	0.799
0.275	0.280	1267	802	0.633
0.280	0.285	1161	586	0.505
0.285	0.290	1023	419	0.410
0.290	0.295	852	258	0.303
0.295	0.300	633	180	0.284
0.300	0.305	483	123	0.255
0.305	0.310	364	114	0.313
0.310	0.315	217	147	0.677
0.315	0.320	147	194	1.320
0.320	0.325	105	264	2.514
0.325	0.330	101	289	2.861
0.330	0.335	86	303	3.523
0.335	0.340	155	348	2.245
0.340	0.345	175	356	2.034
0.345	0.350	223	341	1.529
0.350	0.355	247	336	1.360
0.355	0.360	249	245	0.984
0.360	0.365	264	198	0.750
0.365	0.370	290	174	0.600
0.370	0.375	257	121	0.471
0.375	0.380	275	71	0.258
0.380	0.385	200	52	0.260
0.385	0.390	165	30	0.182
0.390	0.395	153	28	0.183
0.395	0.400	99	37	0.374
