pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38186	45979	1.204
0.005	0.010	112279	134871	1.201
0.010	0.015	182943	220121	1.203
0.015	0.020	247109	293850	1.189
0.020	0.025	302217	356075	1.178
0.025	0.030	348344	404260	1.161
0.030	0.035	382228	439454	1.150
0.035	0.040	406094	456004	1.123
0.040	0.045	416812	460845	1.106
0.045	0.050	418772	449487	1.073
0.050	0.055	407654	426398	1.046
0.055	0.060	389339	393678	1.011
0.060	0.065	362726	353552	0.975
0.065	0.070	330851	308675	0.933
0.070	0.075	294935	261365	0.886
0.075	0.080	255424	216894	0.849
0.080	0.085	218645	173439	0.793
0.085	0.090	182427	135702	0.744
0.090	0.095	147285	102020	0.693
0.095	0.100	116610	73337	0.629
0.100	0.105	89800	51475	0.573
0.105	0.110	66463	34779	0.523
0.110	0.115	48462	23458	0.484
0.115	0.120	34113	16115	0.472
0.120	0.125	23824	11970	0.502
0.125	0.130	16437	9988	0.608
0.130	0.135	11985	10158	0.848
0.135	0.140	9383	10668	1.137
0.140	0.145	8359	11521	1.378
0.145	0.150	8504	12397	1.458
0.150	0.155	9011	12617	1.400
0.155	0.160	9513	12239	1.287
0.160	0.165	10252	11509	1.123
0.165	0.170	10230	10239	1.001
0.170	0.175	10439	8652	0.829
0.175	0.180	9859	7098	0.720
0.180	0.185	9043	5386	0.596
0.185	0.190	7905	3911	0.495
0.190	0.195	6920	2682	0.388
0.195	0.200	5582	1749	0.313
0.200	0.205	4394	1152	0.262
0.205	0.210	3263	862	0.264
0.210	0.215	2314	790	0.341
0.215	0.220	1577	886	0.562
0.220	0.225	1092	1131	1.036
0.225	0.230	716	1359	1.898
0.230	0.235	641	1575	2.457
0.235	0.240	643	1705	2.652
0.240	0.245	731	1760	2.408
0.245	0.250	879	1691	1.924
0.250	0.255	1058	1582	1.495
0.255	0.260	1200	1396	1.163
0.260	0.265	1307	1162	0.889
0.265	0.270	1292	912	0.706
0.270	0.275	1287	651	0.506
0.275	0.280	1278	472	0.369
0.280	0.285	1180	301	0.255
0.285	0.290	969	204	0.211
0.290	0.295	851	142	0.167
0.295	0.300	636	138	0.217
0.300	0.305	466	189	0.406
0.305	0.310	383	219	0.572
0.310	0.315	222	310	1.396
0.315	0.320	155	329	2.123
0.320	0.325	108	330	3.056
0.325	0.330	104	380	3.654
0.330	0.335	96	402	4.188
0.335	0.340	159	384	2.415
0.340	0.345	164	320	1.951
0.345	0.350	224	252	1.125
0.350	0.355	248	200	0.806
0.355	0.360	259	170	0.656
0.360	0.365	260	102	0.392
0.365	0.370	286	87	0.304
0.370	0.375	261	41	0.157
0.375	0.380	276	45	0.163
0.380	0.385	211	37	0.175
0.385	0.390	149	53	0.356
0.390	0.395	145	51	0.352
0.395	0.400	101	85	0.842
0.400	0.405	67	99	1.478
0.405	0.410	53	103	1.943
0.410	0.415	27	111	4.111
0.415	0.420	23	115	5.000
0.420	0.425	23	103	4.478
0.425	0.430	27	95	3.519
0.430	0.435	36	69	1.917
0.435	0.440	36	74	2.056
0.440	0.445	65	48	0.738
0.445	0.450	68	33	0.485
0.450	0.455	64	21	0.328
0.455	0.460	70	13	0.186
0.460	0.465	77	13	0.169
0.465	0.470	69	17	0.246
0.470	0.475	63	17	0.270
0.475	0.480	62	26	0.419
0.480	0.485	45	25	0.556
0.485	0.490	53	20	0.377
0.490	0.495	26	40	1.538
0.495	0.500	24	39	1.625
0.500	0.505	20	40	2.000
0.505	0.510	7	46	6.571
0.510	0.515	14	37	2.643
0.515	0.520	7	17	2.429
0.520	0.525	7	24	3.429
0.525	0.530	15	16	1.067
0.530	0.535	13	13	1.000
0.535	0.540	19	8	0.421
0.540	0.545	14	7	0.500
0.545	0.550	26	8	0.308
0.550	0.555	24	6	0.250
0.555	0.560	24	3	0.125
0.560	0.565	28	5	0.179
0.565	0.570	23	6	0.261
0.570	0.575	14	15	1.071
0.575	0.580	15	15	1.000
0.580	0.585	16	9	0.562
0.585	0.590	9	11	1.222
0.590	0.595	10	14	1.400
0.595	0.600	3	12	4.000
