pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	552	572	1.036
0.005	0.010	1782	1765	0.990
0.010	0.015	2951	3015	1.022
0.015	0.020	4136	4127	0.998
0.020	0.025	5482	5443	0.993
0.025	0.030	6514	6427	0.987
0.030	0.035	7634	7731	1.013
0.035	0.040	8949	8954	1.001
0.040	0.045	10031	10027	1.000
0.045	0.050	11400	11252	0.987
0.050	0.055	12474	12490	1.001
0.055	0.060	13463	13485	1.002
0.060	0.065	14863	14785	0.995
0.065	0.070	15884	15770	0.993
0.070	0.075	17066	17035	0.998
0.075	0.080	18375	18198	0.990
0.080	0.085	19359	19447	1.005
0.085	0.090	20418	20402	0.999
0.090	0.095	21479	21463	0.999
0.095	0.100	22550	22673	1.005
0.100	0.105	23530	23579	1.002
0.105	0.110	24731	24750	1.001
0.110	0.115	25466	25575	1.004
0.115	0.120	26495	26559	1.002
0.120	0.125	27518	27614	1.003
0.125	0.130	28821	28792	0.999
0.130	0.135	29325	29629	1.010
0.135	0.140	30731	30459	0.991
0.140	0.145	31425	31505	1.003
0.145	0.150	32471	32616	1.004
0.150	0.155	33098	33066	0.999
0.155	0.160	34217	34256	1.001
0.160	0.165	34747	34720	0.999
0.165	0.170	35811	36014	1.006
0.170	0.175	36253	36362	1.003
0.175	0.180	37360	37264	0.997
0.180	0.185	38150	38368	1.006
0.185	0.190	39334	39350	1.000
0.190	0.195	40042	40177	1.003
0.195	0.200	40699	40764	1.002
0.200	0.205	41099	41026	0.998
0.205	0.210	41745	41687	0.999
0.210	0.215	42893	42872	1.000
0.215	0.220	42936	42801	0.997
0.220	0.225	43494	43896	1.009
0.225	0.230	44042	43896	0.997
0.230	0.235	44362	44398	1.001
0.235	0.240	45177	45264	1.002
0.240	0.245	45957	45756	0.996
0.245	0.250	46648	46580	0.999
0.250	0.255	47059	46883	0.996
0.255	0.260	47445	47527	1.002
0.260	0.265	48072	48179	1.002
0.265	0.270	48135	48189	1.001
0.270	0.275	48557	48561	1.000
0.275	0.280	48653	48822	1.003
0.280	0.285	48956	48916	0.999
0.285	0.290	49525	49604	1.002
0.290	0.295	49578	49734	1.003
0.295	0.300	50243	49990	0.995
0.300	0.305	50097	50418	1.006
0.305	0.310	50661	50695	1.001
0.310	0.315	50142	50242	1.002
0.315	0.320	51036	51206	1.003
0.320	0.325	51300	51342	1.001
0.325	0.330	51470	51515	1.001
0.330	0.335	51396	51513	1.002
0.335	0.340	51405	51110	0.994
0.340	0.345	51381	51406	1.000
0.345	0.350	51393	51693	1.006
0.350	0.355	51512	51594	1.002
0.355	0.360	51027	51497	1.009
0.360	0.365	51852	51482	0.993
0.365	0.370	51464	51382	0.998
0.370	0.375	51560	51489	0.999
0.375	0.380	50980	50915	0.999
0.380	0.385	51020	50793	0.996
0.385	0.390	50749	50678	0.999
0.390	0.395	50646	50711	1.001
0.395	0.400	50412	50163	0.995
0.400	0.405	50294	50527	1.005
0.405	0.410	50528	50672	1.003
0.410	0.415	50068	49947	0.998
0.415	0.420	50107	49901	0.996
0.420	0.425	49663	49739	1.002
0.425	0.430	49186	49323	1.003
0.430	0.435	48887	49045	1.003
0.435	0.440	48829	48923	1.002
0.440	0.445	48425	48347	0.998
0.445	0.450	48034	48121	1.002
0.450	0.455	47994	47940	0.999
0.455	0.460	47733	47526	0.996
0.460	0.465	46668	46832	1.004
0.465	0.470	46410	46364	0.999
0.470	0.475	46226	46014	0.995
0.475	0.480	46037	45986	0.999
0.480	0.485	45334	45519	1.004
0.485	0.490	44939	44806	0.997
0.490	0.495	44544	44348	0.996
0.495	0.500	44013	44155	1.003
0.500	0.505	44112	44116	1.000
0.505	0.510	43290	43523	1.005
0.510	0.515	42995	42835	0.996
0.515	0.520	42764	42850	1.002
0.520	0.525	42139	42105	0.999
0.525	0.530	41659	41817	1.004
0.530	0.535	41204	41101	0.998
0.535	0.540	40648	40673	1.001
0.540	0.545	40101	40255	1.004
0.545	0.550	39807	39772	0.999
0.550	0.555	39420	39269	0.996
0.555	0.560	38593	38398	0.995
0.560	0.565	38171	38385	1.006
0.565	0.570	37673	37555	0.997
0.570	0.575	37362	37319	0.999
0.575	0.580	36855	36558	0.992
0.580	0.585	35794	35848	1.002
0.585	0.590	35203	35326	1.003
0.590	0.595	34949	34903	0.999
0.595	0.600	34448	34765	1.009
0.600	0.605	33960	33864	0.997
0.605	0.610	33380	33298	0.998
0.610	0.615	32804	32983	1.005
0.615	0.620	32558	32808	1.008
0.620	0.625	31843	31601	0.992
0.625	0.630	31346	31074	0.991
0.630	0.635	30647	30569	0.997
0.635	0.640	29930	30174	1.008
0.640	0.645	29453	29632	1.006
0.645	0.650	29042	28983	0.998
0.650	0.655	28464	28493	1.001
0.655	0.660	28099	28006	0.997
0.660	0.665	27408	27360	0.998
0.665	0.670	26750	26750	1.000
0.670	0.675	26375	26329	0.998
0.675	0.680	25874	25959	1.003
0.680	0.685	25642	25601	0.998
0.685	0.690	24931	24904	0.999
0.690	0.695	24313	24376	1.003
0.695	0.700	23953	23908	0.998
0.700	0.705	23393	23330	0.997
0.705	0.710	23078	22887	0.992
0.710	0.715	22513	22472	0.998
0.715	0.720	22396	22280	0.995
0.720	0.725	21340	21381	1.002
0.725	0.730	21011	21074	1.003
0.730	0.735	20800	20660	0.993
0.735	0.740	20032	20202	1.008
0.740	0.745	20037	19663	0.981
0.745	0.750	19409	19269	0.993
0.750	0.755	18587	18852	1.014
0.755	0.760	18670	18534	0.993
0.760	0.765	18094	18002	0.995
0.765	0.770	17326	17414	1.005
0.770	0.775	17088	17089	1.000
0.775	0.780	16702	16692	0.999
0.780	0.785	16303	16227	0.995
0.785	0.790	16126	16010	0.993
0.790	0.795	15505	15489	0.999
0.795	0.800	14940	14971	1.002
0.800	0.805	14454	14549	1.007
0.805	0.810	14213	14317	1.007
0.810	0.815	14006	13956	0.996
0.815	0.820	13634	13632	1.000
0.820	0.825	13412	13352	0.996
0.825	0.830	12983	12896	0.993
0.830	0.835	12675	12615	0.995
0.835	0.840	11994	12132	1.012
0.840	0.845	11894	11840	0.995
0.845	0.850	11472	11411	0.995
0.850	0.855	11318	11268	0.996
0.855	0.860	10842	10981	1.013
0.860	0.865	10775	10659	0.989
0.865	0.870	10277	10256	0.998
0.870	0.875	9928	10045	1.012
0.875	0.880	9808	9789	0.998
0.880	0.885	9678	9620	0.994
0.885	0.890	9207	9281	1.008
0.890	0.895	8806	8773	0.996
0.895	0.900	8782	8723	0.993
0.900	0.905	8459	8460	1.000
0.905	0.910	8132	8068	0.992
0.910	0.915	7830	7847	1.002
0.915	0.920	7634	7605	0.996
0.920	0.925	7277	7323	1.006
0.925	0.930	7136	7070	0.991
0.930	0.935	6888	6889	1.000
0.935	0.940	6745	6747	1.000
0.940	0.945	6564	6499	0.990
0.945	0.950	6293	6296	1.000
0.950	0.955	6074	6092	1.003
0.955	0.960	5935	5895	0.993
0.960	0.965	5720	5791	1.012
0.965	0.970	5391	5361	0.994
0.970	0.975	5414	5411	0.999
0.975	0.980	5237	5206	0.994
0.980	0.985	4972	4898	0.985
0.985	0.990	4891	4900	1.002
0.990	0.995	4695	4641	0.988
0.995	1.000	4552	4478	0.984
1.000	1.005	4361	4405	1.010
1.005	1.010	4253	4257	1.001
1.010	1.015	4128	4163	1.008
1.015	1.020	3961	3900	0.985
1.020	1.025	3800	3806	1.002
1.025	1.030	3603	3567	0.990
1.030	1.035	3470	3452	0.995
1.035	1.040	3431	3418	0.996
1.040	1.045	3244	3254	1.003
1.045	1.050	3127	3119	0.997
1.050	1.055	3009	3081	1.024
1.055	1.060	2979	2858	0.959
1.060	1.065	2833	2848	1.005
1.065	1.070	2796	2806	1.004
1.070	1.075	2585	2609	1.009
1.075	1.080	2513	2460	0.979
1.080	1.085	2387	2367	0.992
1.085	1.090	2283	2277	0.997
1.090	1.095	2254	2241	0.994
1.095	1.100	2174	2154	0.991
1.100	1.105	2037	2099	1.030
1.105	1.110	1980	1942	0.981
1.110	1.115	1895	1928	1.017
1.115	1.120	1865	1830	0.981
1.120	1.125	1727	1741	1.008
1.125	1.130	1709	1721	1.007
1.130	1.135	1539	1524	0.990
1.135	1.140	1600	1596	0.998
1.140	1.145	1475	1464	0.993
1.145	1.150	1442	1442	1.000
1.150	1.155	1396	1340	0.960
1.155	1.160	1345	1382	1.028
1.160	1.165	1200	1223	1.019
1.165	1.170	1195	1171	0.980
1.170	1.175	1147	1156	1.008
1.175	1.180	1120	1115	0.996
1.180	1.185	1037	1020	0.984
1.185	1.190	994	1021	1.027
1.190	1.195	1010	976	0.966
1.195	1.200	963	975	1.012
1.200	1.205	890	928	1.043
1.205	1.210	878	877	0.999
1.210	1.215	816	804	0.985
1.215	1.220	778	816	1.049
1.220	1.225	753	757	1.005
1.225	1.230	717	701	0.978
1.230	1.235	685	690	1.007
1.235	1.240	675	667	0.988
1.240	1.245	634	652	1.028
1.245	1.250	587	613	1.044
1.250	1.255	594	577	0.971
1.255	1.260	574	571	0.995
1.260	1.265	488	502	1.029
1.265	1.270	509	490	0.963
1.270	1.275	474	483	1.019
1.275	1.280	455	418	0.919
1.280	1.285	439	442	1.007
1.285	1.290	352	359	1.020
1.290	1.295	400	397	0.993
1.295	1.300	394	390	0.990
1.300	1.305	382	385	1.008
1.305	1.310	345	345	1.000
1.310	1.315	331	311	0.940
1.315	1.320	316	314	0.994
1.320	1.325	291	292	1.003
1.325	1.330	273	262	0.960
1.330	1.335	261	269	1.031
1.335	1.340	277	256	0.924
1.340	1.345	257	283	1.101
1.345	1.350	243	249	1.025
1.350	1.355	204	209	1.025
1.355	1.360	209	219	1.048
1.360	1.365	204	188	0.922
1.365	1.370	192	191	0.995
1.370	1.375	180	174	0.967
1.375	1.380	157	142	0.904
1.380	1.385	165	165	1.000
1.385	1.390	152	161	1.059
1.390	1.395	141	138	0.979
1.395	1.400	136	143	1.051
