pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	598	612	1.023
0.005	0.010	1939	1976	1.019
0.010	0.015	3184	3157	0.992
0.015	0.020	4426	4461	1.008
0.020	0.025	5860	5808	0.991
0.025	0.030	6966	7015	1.007
0.030	0.035	8349	8373	1.003
0.035	0.040	9590	9659	1.007
0.040	0.045	10728	10681	0.996
0.045	0.050	12075	12052	0.998
0.050	0.055	13425	13442	1.001
0.055	0.060	14531	14312	0.985
0.060	0.065	15776	15896	1.008
0.065	0.070	17052	17092	1.002
0.070	0.075	18229	18347	1.006
0.075	0.080	19548	19473	0.996
0.080	0.085	20987	21089	1.005
0.085	0.090	21892	21769	0.994
0.090	0.095	23136	23009	0.995
0.095	0.100	23951	24039	1.004
0.100	0.105	25359	25344	0.999
0.105	0.110	26373	26468	1.004
0.110	0.115	27376	27117	0.991
0.115	0.120	28371	28671	1.011
0.120	0.125	29764	29717	0.998
0.125	0.130	30660	30588	0.998
0.130	0.135	31416	31588	1.005
0.135	0.140	32740	32735	1.000
0.140	0.145	33828	33848	1.001
0.145	0.150	34519	34509	1.000
0.150	0.155	35484	35631	1.004
0.155	0.160	36530	36439	0.998
0.160	0.165	36997	37110	1.003
0.165	0.170	38107	38327	1.006
0.170	0.175	39153	39081	0.998
0.175	0.180	40047	40043	1.000
0.180	0.185	40966	41005	1.001
0.185	0.190	41980	41685	0.993
0.190	0.195	42451	42372	0.998
0.195	0.200	42375	42583	1.005
0.200	0.205	43917	43712	0.995
0.205	0.210	44450	44385	0.999
0.210	0.215	45060	45198	1.003
0.215	0.220	45430	45376	0.999
0.220	0.225	45728	45920	1.004
0.225	0.230	46838	46632	0.996
0.230	0.235	47333	47613	1.006
0.235	0.240	47996	48040	1.001
0.240	0.245	48407	48426	1.000
0.245	0.250	49111	49143	1.001
0.250	0.255	49723	49890	1.003
0.255	0.260	49988	49815	0.997
0.260	0.265	50371	50360	1.000
0.265	0.270	50558	50745	1.004
0.270	0.275	50955	51192	1.005
0.275	0.280	51477	51492	1.000
0.280	0.285	51427	51353	0.999
0.285	0.290	51976	52090	1.002
0.290	0.295	52250	52025	0.996
0.295	0.300	52262	52352	1.002
0.300	0.305	52327	52252	0.999
0.305	0.310	53335	53227	0.998
0.310	0.315	53012	52995	1.000
0.315	0.320	53244	53054	0.996
0.320	0.325	53262	52729	0.990
0.325	0.330	53452	53607	1.003
0.330	0.335	53416	53259	0.997
0.335	0.340	53244	53408	1.003
0.340	0.345	53410	53383	0.999
0.345	0.350	53328	53536	1.004
0.350	0.355	53320	53435	1.002
0.355	0.360	53366	53386	1.000
0.360	0.365	52776	52752	1.000
0.365	0.370	52671	52606	0.999
0.370	0.375	52591	52943	1.007
0.375	0.380	52759	52749	1.000
0.380	0.385	52029	52478	1.009
0.385	0.390	52177	52380	1.004
0.390	0.395	52325	52355	1.001
0.395	0.400	52185	52322	1.003
0.400	0.405	52016	51941	0.999
0.405	0.410	51426	51495	1.001
0.410	0.415	51089	51063	0.999
0.415	0.420	50894	51118	1.004
0.420	0.425	50410	50456	1.001
0.425	0.430	50420	50168	0.995
0.430	0.435	49658	49407	0.995
0.435	0.440	49644	49620	1.000
0.440	0.445	49070	49176	1.002
0.445	0.450	48817	48661	0.997
0.450	0.455	47689	47667	1.000
0.455	0.460	47796	48020	1.005
0.460	0.465	47607	47490	0.998
0.465	0.470	46923	46919	1.000
0.470	0.475	46243	46200	0.999
0.475	0.480	45772	45899	1.003
0.480	0.485	45825	45643	0.996
0.485	0.490	45321	45327	1.000
0.490	0.495	44590	44954	1.008
0.495	0.500	44242	44283	1.001
0.500	0.505	43958	43893	0.999
0.505	0.510	43338	43289	0.999
0.510	0.515	42829	42838	1.000
0.515	0.520	42464	42253	0.995
0.520	0.525	41812	41746	0.998
0.525	0.530	41202	41048	0.996
0.530	0.535	40787	40997	1.005
0.535	0.540	40055	39900	0.996
0.540	0.545	39565	39404	0.996
0.545	0.550	39026	39033	1.000
0.550	0.555	38616	38483	0.997
0.555	0.560	37906	37781	0.997
0.560	0.565	37176	36958	0.994
0.565	0.570	36448	36475	1.001
0.570	0.575	36261	36045	0.994
0.575	0.580	35770	35820	1.001
0.580	0.585	35041	34730	0.991
0.585	0.590	34342	34616	1.008
0.590	0.595	34029	34066	1.001
0.595	0.600	33631	33674	1.001
0.600	0.605	32583	32547	0.999
0.605	0.610	32198	31932	0.992
0.610	0.615	31385	31337	0.998
0.615	0.620	30872	30997	1.004
0.620	0.625	30167	30234	1.002
0.625	0.630	29855	29691	0.995
0.630	0.635	29223	29200	0.999
0.635	0.640	28487	28461	0.999
