pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	181917	1.205
0.010	0.020	431963	515699	1.194
0.020	0.030	652918	763762	1.170
0.030	0.040	791151	898873	1.136
0.040	0.050	837953	911878	1.088
0.050	0.060	798205	820961	1.029
0.060	0.070	693856	661664	0.954
0.070	0.080	549788	477078	0.868
0.080	0.090	398909	306526	0.768
0.090	0.100	262253	172872	0.659
0.100	0.110	154201	84162	0.546
0.110	0.120	80600	38037	0.472
0.120	0.130	38690	20880	0.540
0.130	0.140	20475	20420	0.997
0.140	0.150	16337	23785	1.456
0.150	0.160	18435	24914	1.351
0.160	0.170	20548	21870	1.064
0.170	0.180	20324	15730	0.774
0.180	0.190	17074	9280	0.544
0.190	0.200	12480	4411	0.353
0.200	0.220	11469	3529	1.000
0.220	0.240	2977	5781	1.000
0.240	0.260	3825	6555	1.000
0.260	0.280	5202	3161	1.000
0.280	0.300	3669	750	1.000
0.300	0.320	1211	1036	1.000
0.320	0.340	447	1497	1.000
0.340	0.360	894	971	1.000
0.360	0.380	1086	259	1.000
0.380	0.400	617	228	1.000
0.400	0.480	815	940	1.000
0.480	0.560	335	355	1.000
0.560	0.640	155	122	1.000
0.640	0.720	68	63	1.000
0.720	0.800	43	20	1.000
0.800	0.880	14	12	1.000
0.880	0.960	8	2	1.000
0.960	1.040	0	0	1.000
1.040	1.120	0	0	1.000
1.120	1.200	0	0	1.000
1.200	1.600	0	0	1.000
1.600	2.000	0	0	1.000
