pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	175296	1.161
0.010	0.020	431963	497592	1.152
0.020	0.030	652918	741042	1.135
0.030	0.040	791151	877632	1.109
0.040	0.050	837953	897928	1.072
0.050	0.060	798205	818522	1.025
0.060	0.070	693856	671424	0.968
0.070	0.080	549788	492891	0.897
0.080	0.090	398909	326323	0.818
0.090	0.100	262253	190534	0.727
0.100	0.110	154201	96191	0.624
0.110	0.120	80600	44159	0.548
0.120	0.130	38690	22473	0.581
0.130	0.140	20475	19102	0.933
0.140	0.150	16337	22058	1.350
0.150	0.160	18435	24291	1.318
0.160	0.170	20548	22436	1.092
0.170	0.180	20324	17433	0.858
0.180	0.190	17074	11215	0.657
0.190	0.200	12480	5785	0.464
0.200	0.220	11469	4008	1.000
0.220	0.240	2977	4748	1.000
0.240	0.260	3825	6419	1.000
0.260	0.280	5202	4012	1.000
0.280	0.300	3669	1107	1.000
0.300	0.320	1211	729	1.000
0.320	0.340	447	1339	1.000
0.340	0.360	894	1171	1.000
0.360	0.380	1086	443	1.000
0.380	0.400	617	151	1.000
0.400	0.480	815	977	1.000
0.480	0.560	335	361	1.000
0.560	0.640	155	114	1.000
0.640	0.720	68	64	1.000
0.720	0.800	43	18	1.000
0.800	0.880	14	11	1.000
0.880	0.960	8	1	1.000
0.960	1.040	0	0	1.000
1.040	1.120	0	0	1.000
1.120	1.200	0	0	1.000
1.200	1.600	0	0	1.000
1.600	2.000	0	0	1.000
