pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	202435	1.341
0.010	0.020	431963	569744	1.319
0.020	0.030	652918	835165	1.279
0.030	0.040	791151	960493	1.214
0.040	0.050	837953	947967	1.131
0.050	0.060	798205	820160	1.028
0.060	0.070	693856	625840	0.902
0.070	0.080	549788	423413	0.770
0.080	0.090	398909	249683	0.626
0.090	0.100	262253	125025	0.477
0.100	0.110	154201	54874	0.356
0.110	0.120	80600	26205	0.325
0.120	0.130	38690	21863	0.565
0.130	0.140	20475	25524	1.247
0.140	0.150	16337	27669	1.694
0.150	0.160	18435	24484	1.328
0.160	0.170	20548	17517	0.852
0.170	0.180	20324	9977	0.491
0.180	0.190	17074	4453	0.261
0.190	0.200	12480	2018	0.162
0.200	0.220	11469	5213	0.455
0.220	0.240	2977	7926	2.662
0.240	0.260	3825	4794	1.253
0.260	0.280	5202	1176	0.226
0.280	0.300	3669	1119	0.305
0.300	0.320	1211	1799	1.486
0.320	0.340	447	1140	2.550
0.340	0.360	894	301	0.337
0.360	0.380	1086	324	0.298
0.380	0.400	617	519	0.841
0.400	0.480	815	749	0.919
0.480	0.560	335	252	0.752
0.560	0.640	155	111	0.716
0.640	0.720	68	44	0.647
0.720	0.800	43	16	0.372
0.800	0.880	14	6	0.429
0.880	0.960	8	0	0.000
0.960	1.040	0	0	0.000
1.040	1.120	0	0	0.000
1.120	1.200	0	0	0.000
1.200	1.600	0	0	0.000
1.600	2.000	0	0	0.000
