pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	197578	1.308
0.010	0.020	431963	557772	1.291
0.020	0.030	652918	819178	1.255
0.030	0.040	791151	947015	1.197
0.040	0.050	837953	940522	1.122
0.050	0.060	798205	821741	1.029
0.060	0.070	693856	634447	0.914
0.070	0.080	549788	435828	0.793
0.080	0.090	398909	261900	0.657
0.090	0.100	262253	135082	0.515
0.100	0.110	154201	60377	0.392
0.110	0.120	80600	28127	0.349
0.120	0.130	38690	21019	0.543
0.130	0.140	20475	24352	1.189
0.140	0.150	16337	27072	1.657
0.150	0.160	18435	25059	1.359
0.160	0.170	20548	18618	0.906
0.170	0.180	20324	11329	0.557
0.180	0.190	17074	5343	0.313
0.190	0.200	12480	2274	0.182
0.200	0.220	11469	4558	1.000
0.220	0.240	2977	7657	1.000
0.240	0.260	3825	5355	1.000
0.260	0.280	5202	1479	1.000
0.280	0.300	3669	941	1.000
0.300	0.320	1211	1649	1.000
0.320	0.340	447	1331	1.000
0.340	0.360	894	401	1.000
0.360	0.380	1086	231	1.000
0.380	0.400	617	487	1.000
0.400	0.480	815	800	1.000
0.480	0.560	335	290	1.000
0.560	0.640	155	107	1.000
0.640	0.720	68	50	1.000
0.720	0.800	43	16	1.000
0.800	0.880	14	12	1.000
0.880	0.960	8	0	1.000
0.960	1.040	0	0	1.000
1.040	1.120	0	0	1.000
1.120	1.200	0	0	1.000
1.200	1.600	0	0	1.000
1.600	2.000	0	0	1.000
