pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	2537	2590	1.021
0.010	0.020	7610	7621	1.001
0.020	0.030	12826	12819	0.999
0.030	0.040	17939	18012	1.004
0.040	0.050	22803	22767	0.998
0.050	0.060	27956	27735	0.992
0.060	0.070	32828	33041	1.006
0.070	0.080	37777	37792	1.000
0.080	0.090	42879	42865	1.000
0.090	0.100	47087	47069	1.000
0.100	0.110	51732	51819	1.002
0.110	0.120	55747	55807	1.001
0.120	0.130	60424	60309	0.998
0.130	0.140	64156	64347	1.003
0.140	0.150	68347	68305	0.999
0.150	0.160	72014	72086	1.001
0.160	0.170	75104	75427	1.004
0.170	0.180	79200	79129	0.999
0.180	0.190	82946	82741	0.998
0.190	0.200	84826	84962	1.002
0.200	0.220	178857	178721	0.999
0.220	0.240	187895	188236	1.002
0.240	0.260	197229	197265	1.000
0.260	0.280	203361	203712	1.002
0.280	0.300	207915	207807	0.999
0.300	0.320	211918	211469	0.998
0.320	0.340	213374	213037	0.998
0.340	0.360	213424	213730	1.001
0.360	0.380	210797	211092	1.001
0.380	0.400	208716	209546	1.004
0.400	0.480	785474	785353	1.000
0.480	0.560	671536	670756	0.999
0.560	0.640	527468	526772	0.999
0.640	0.720	385553	385860	1.001
0.720	0.800	264195	263812	0.999
0.800	0.880	169129	169300	1.001
0.880	0.960	101293	101406	1.001
0.960	1.040	57160	56938	0.996
1.040	1.120	30264	30227	0.999
1.120	1.200	15274	15257	0.999
1.200	1.600	12317	12348	1.003
1.600	2.000	113	113	1.000
