Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	4.456		0.137
2	0.040	0.080	4.327		0.078
3	0.080	0.120	4.228		0.061
4	0.120	0.160	4.283		0.053
5	0.160	0.200	4.067		0.046
6	0.200	0.240	4.043		0.043
7	0.240	0.280	3.805		0.040
8	0.280	0.320	3.703		0.038
9	0.320	0.360	3.466		0.037
10	0.360	0.400	3.261		0.036
11	0.400	0.440	3.023		0.035
12	0.440	0.480	2.834		0.034
13	0.480	0.520	2.668		0.035
14	0.520	0.560	2.509		0.035
15	0.560	0.600	2.395		0.036
16	0.600	0.680	2.263		0.027
17	0.680	0.760	2.033		0.030
18	0.760	0.840	1.858		0.035
19	0.840	0.920	1.791		0.043
20	0.920	1.000	1.649		0.053
21	1.000	1.150	1.328		0.051
22	1.150	1.300	1.210		0.089
23	1.300	1.450	1.048		0.169
24	1.450	1.600	1.113		0.396
