pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	150465	180850	1.202
0.010	0.020	430052	513971	1.195
0.020	0.030	650561	760335	1.169
0.030	0.040	788322	895458	1.136
0.040	0.050	835584	910332	1.089
0.050	0.060	796993	820076	1.029
0.060	0.070	693577	662227	0.955
0.070	0.080	550359	478259	0.869
0.080	0.090	401072	309141	0.771
0.090	0.100	263895	175357	0.664
0.100	0.110	156263	86254	0.552
0.110	0.120	82575	39573	0.479
0.120	0.130	40261	21958	0.545
0.130	0.140	21368	20826	0.975
0.140	0.150	16863	23918	1.418
0.150	0.160	18524	24856	1.342
0.160	0.170	20482	21748	1.062
0.170	0.180	20298	15750	0.776
0.180	0.190	16948	9297	0.549
0.190	0.200	12502	4431	0.354
0.200	0.220	11548	3690	0.320
0.220	0.240	3092	5770	1.866
0.240	0.260	3868	6429	1.662
0.260	0.280	5164	3197	0.619
0.280	0.300	3636	785	0.216
0.300	0.320	1226	1047	0.854
0.320	0.340	467	1496	3.203
0.340	0.360	895	942	1.053
0.360	0.380	1083	275	0.254
0.380	0.400	606	226	0.373
0.400	0.480	830	957	1.153
0.480	0.560	338	349	1.033
0.560	0.640	156	124	0.795
0.640	0.720	65	62	0.954
0.720	0.800	42	20	0.476
0.800	0.880	13	12	0.923
0.880	0.960	7	2	0.286
0.960	1.040	0	0	0.000
1.040	1.120	0	0	0.000
1.120	1.200	0	0	0.000
1.200	1.600	0	0	0.000
1.600	2.000	0	0	0.000
