pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	2334	2338	1.002
0.010	0.020	7087	7138	1.007
0.020	0.030	11996	11880	0.990
0.030	0.040	16583	16694	1.007
0.040	0.050	21431	21258	0.992
0.050	0.060	25937	25967	1.001
0.060	0.070	30747	30543	0.993
0.070	0.080	35441	35242	0.994
0.080	0.090	39777	39836	1.001
0.090	0.100	44029	44124	1.002
0.100	0.110	48261	48314	1.001
0.110	0.120	51961	52121	1.003
0.120	0.130	56339	56443	1.002
0.130	0.140	60056	60086	1.000
0.140	0.150	63896	64147	1.004
0.150	0.160	67315	67337	1.000
0.160	0.170	70558	70745	1.003
0.170	0.180	73613	73638	1.000
0.180	0.190	77484	77756	1.004
0.190	0.200	80741	80912	1.002
0.200	0.220	168673	168319	0.998
0.220	0.240	177075	177482	1.002
0.240	0.260	187109	186765	0.998
0.260	0.280	193417	193704	1.001
0.280	0.300	198302	198249	1.000
0.300	0.320	201936	202563	1.003
0.320	0.340	205571	205458	0.999
0.340	0.360	205313	206145	1.004
0.360	0.380	205856	205191	0.997
0.380	0.400	202827	202410	0.998
0.400	0.480	775089	775205	1.000
0.480	0.560	675562	675674	1.000
0.560	0.640	546923	547048	1.000
0.640	0.720	411684	411249	0.999
0.720	0.800	291970	291617	0.999
0.800	0.880	193685	193637	1.000
0.880	0.960	121440	121175	0.998
0.960	1.040	71879	71636	0.997
1.040	1.120	39961	39846	0.997
1.120	1.200	20899	20858	0.998
1.200	1.600	19039	19039	1.000
1.600	2.000	204	211	1.034
