Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	7.298		0.178
2	0.040	0.080	6.937		0.100
3	0.080	0.120	6.838		0.078
4	0.120	0.160	6.901		0.068
5	0.160	0.200	6.770		0.061
6	0.200	0.240	6.636		0.056
7	0.240	0.280	6.438		0.053
8	0.280	0.320	6.276		0.051
9	0.320	0.360	6.033		0.049
10	0.360	0.400	5.780		0.048
11	0.400	0.440	5.555		0.048
12	0.440	0.480	5.228		0.047
13	0.480	0.520	5.071		0.048
14	0.520	0.560	4.869		0.049
15	0.560	0.600	4.775		0.052
16	0.600	0.680	4.649		0.040
17	0.680	0.760	4.481		0.045
18	0.760	0.840	4.398		0.054
19	0.840	0.920	4.324		0.067
20	0.920	1.000	4.143		0.084
21	1.000	1.150	4.013		0.090
22	1.150	1.300	4.303		0.171
23	1.300	1.450	3.789		0.325
24	1.450	1.600	4.172		0.778
